Date,Close,High,Low,Open,Volume
2021-03-23,208.40582275390625,208.68911402574497,199.62387977966162,205.856230124943,589239
2021-03-24,205.00636291503906,210.01111275559208,203.11777371972335,207.1782289626185,480745
2021-03-25,196.50770568847656,209.53895922133967,196.50770568847656,207.65037008222424,740462
2021-03-26,200.1904754638672,204.8175137087127,197.8297387249065,198.3018860726986,437112
2021-03-29,226.347412109375,229.93573446116392,203.96763303331173,205.8562222280646,2085034
2021-03-30,205.76181030273438,237.58455336456828,204.72309477328423,236.07367607417606,1652983
2021-03-31,179.8881072998047,192.3527921679542,171.38945656123124,188.67004927808878,3528905
2021-04-01,183.7408447265625,186.76258456035563,174.7511561133348,180.17141229652057,1055635
2021-04-06,186.1016082763672,189.8032419119631,183.21206868998019,187.8957625110223,734970
2021-04-07,181.0779266357422,187.76353410794587,180.360267929575,187.17807606893558,522394
2021-04-08,172.805908203125,181.0968134658503,171.9560488443313,181.0968134658503,1176280
2021-04-09,174.10903930664062,181.30455939689136,171.4839015264098,173.2969453913237,1061406
2021-04-12,176.11093139648438,177.62180842131116,173.16473704774242,175.35549288407097,391286
2021-04-13,176.11093139648438,179.88810954976017,175.619894202097,176.7719346915494,361855
2021-04-14,175.4121856689453,179.6992918563388,173.93908818034112,177.99955844302846,547448
2021-04-15,176.97970581054688,178.28283706955543,174.71340435981253,175.63880910450317,325032
2021-04-16,166.91351318359375,181.77671580884316,165.25155982622107,179.41597923989715,1703454
2021-04-19,167.61228942871094,174.78893406354155,167.23457735689541,168.97207594131396,685110
2021-04-20,163.36297607421875,171.10618939944624,162.62642739259914,168.55659670085578,571326
2021-04-21,162.98524475097656,169.93525320072166,157.98048076473663,163.3629568066662,735255
2021-04-22,163.83511352539062,166.85685337147802,162.70196288420686,165.9125587690262,302258
2021-04-23,161.6065673828125,169.02872306118022,158.16933582540608,167.1212440513914,708623
2021-04-26,159.56690979003906,164.21283785158954,155.9030562572156,163.81623581803206,689756
2021-04-27,158.92477416992188,163.68401231782764,156.7528938433462,156.7528938433462,614501
2021-04-28,162.89080810546875,164.96825321114258,159.20806516399202,160.53007175611413,666274
2021-04-29,165.4781951904297,167.14014854244348,161.09666870894557,165.25155929337635,524519
2021-04-30,164.4205780029297,169.7275236743824,164.3072672570144,165.9692206352073,480142
2021-05-04,159.51023864746094,166.00698996553473,158.35819810771432,165.4592973803444,591802
2021-05-05,152.50357055664062,159.03808714493522,147.59324175484144,158.64148516108747,772183
2021-05-06,147.80099487304688,152.29583198329843,146.0068264872061,151.55928334776965,773761
2021-05-07,152.4658203125,152.4658203125,147.44216586540864,148.2542598396079,449907
2021-05-10,147.93321228027344,156.18633879913887,147.8765569032514,153.9200372654957,468415
2021-05-11,145.66688537597656,148.329803165969,142.66403534943294,148.2164924204519,771292
2021-05-12,152.03143310546875,161.26663329296093,143.32503559728448,146.6111768249781,963645
2021-05-13,149.1230010986328,154.97762472100095,147.06444579243433,153.16458082297163,604194
2021-05-14,155.69528198242188,157.47054584685708,146.46008291257334,150.59608303021707,614872
2021-05-17,162.15428161621094,168.0844509812738,156.28076762584726,157.69720962849843,927411
2021-05-18,160.53009033203125,166.81909615256112,157.9238422879237,164.779416252585,935851
2021-05-19,159.64244079589844,160.8133712725798,156.75290166104728,159.58578542600597,578879
2021-05-20,165.72369384765625,166.49802229638368,159.77463528931546,159.7935252148138,681645
2021-05-21,163.36297607421875,166.535806706116,161.9087686386293,165.72371272269012,659440
2021-05-24,158.84922790527344,162.41866009655251,158.7359171718332,162.41866009655251,463011
2021-05-25,155.71417236328125,163.98620220583445,153.070159034311,159.79353191447876,641936
2021-05-26,152.5980224609375,158.8114686293991,152.5980224609375,155.80861853387594,392376
2021-05-27,165.72369384765625,165.72369384765625,156.2807483292713,156.3751835479717,1112344
2021-05-28,168.63214111328125,172.76815631040316,164.3072698670363,167.80115720658824,598754
2021-05-31,163.93011474609375,170.01166970880888,163.48322040608332,170.01166970880888,525989
2021-06-01,149.00794982910156,153.49625325012792,148.25018470149558,151.66983739187688,1833059
2021-06-02,156.9741973876953,157.1684934644037,148.4444706527858,149.6102619368765,1247488
2021-06-04,166.31996154785156,166.31996154785156,157.2073474041815,160.1218327636316,516368
2021-06-07,164.9210205078125,168.72927992894006,162.35627376199844,165.79537508578755,454673
2021-06-08,166.1256866455078,167.2914779729888,163.21120091488487,164.45471364071005,418030
2021-06-09,171.46890258789062,173.70334450989466,165.93138291950868,168.06866939209675,879838
2021-06-10,169.0401611328125,173.17872525844723,167.66063975760093,172.05180211701355,284215
2021-06-11,180.50379943847656,181.18384306968068,167.89379670955665,169.0401538558951,674704
2021-06-14,181.45587158203125,182.5439414582765,177.45331611683744,180.89240258930704,406463
2021-06-15,193.30812072753906,198.86507474440117,185.4584373273294,186.041340406966,1572918
2021-06-16,180.8341064453125,205.61694236018704,180.69809771740353,201.0994958467878,1529527
2021-06-17,175.84063720703125,181.0867055367102,173.13988164467582,179.72661813978334,843200
2021-06-18,178.61911010742188,178.61911010742188,173.89764278847937,176.81212842180585,889324
2021-06-21,178.15280151367188,179.35744612170683,174.30567384814898,178.61911507730343,256814
2021-06-22,172.71241760253906,180.6592561450541,172.07122720490074,177.76418974014425,356451
